ID,Start time,Completion time,Email,Name,Last modified time,How often do you typically travel solo?,What is your BIGGEST challenge or concern when considering solo travel? (Select up to 2),"How important is it for you to be matched with someone based on specific compatibility factors?
",Which compatibility factors are important to you in a travel companion? (Select up to 3),"How concerned are you about encountering fake profiles or scams on a travel companion platform?
","To feel safe using this platform, which security features would be the most valuable to you? (Select up to 2)","Would you be willing to undergo a secure, one-time ID verification to access a network of verified users and unlock all platform features?",[OPTIONAL] Is there any other feature or concern that would be essential for you to use a travel companion matching platform?
1,10/7/25 21:26:22,10/7/25 21:31:16,anonymous,,,"["" Occasionally (once or twice a year)""]",Safety and security;High costs;,Somewhat important,"Similar travel pace (e.g., relaxed vs. fast-paced); Shared interests (e.g., hiking, food, history);Same travel style (e.g., backpacking vs. luxury);",Somewhat concerned,"Government ID verification (e.g., passport/driver's license check);A robust user review and rating system from past trips;","Yes, definitely",
2,10/7/25 21:34:59,10/7/25 21:35:57,anonymous,,,"[""Rarely""]",High costs;,Somewhat important," Shared interests (e.g., hiking, food, history);Similar travel pace (e.g., relaxed vs. fast-paced);Similar budget;",Somewhat concerned,"Government ID verification (e.g., passport/driver's license check);Link to and verification of social media profiles (e.g., Instagram, LinkedIn);","Maybe, I need to know more details",
3,10/7/25 22:04:37,10/7/25 22:06:30,anonymous,,,"[""Rarely""]",Loneliness / Lack of social interaction;Logistics and planning alone;,Extremely important,Different gender;,Neither concerned nor unconcerned,"A robust user review and rating system from past trips;Link to and verification of social media profiles (e.g., Instagram, LinkedIn);","Yes, definitely",
4,10/7/25 22:08:20,10/7/25 22:09:09,anonymous,,,"[""Rarely""]",High costs;,Somewhat not important,"Similar budget;Similar travel pace (e.g., relaxed vs. fast-paced);Same travel style (e.g., backpacking vs. luxury);",Very concerned,"Link to and verification of social media profiles (e.g., Instagram, LinkedIn);","Yes, definitely",
5,10/7/25 22:14:08,10/7/25 22:15:33,anonymous,,,"[""I am planning my first solo trip""]",Safety and security;High costs;,Extremely important,"Same travel style (e.g., backpacking vs. luxury);Similar budget;Similar travel pace (e.g., relaxed vs. fast-paced);",Very concerned,"Government ID verification (e.g., passport/driver's license check);A robust user review and rating system from past trips;","Maybe, I need to know more details",
6,10/7/25 22:17:11,10/7/25 22:20:09,anonymous,,,"[""Rarely""]",Safety and security;Difficulty finding a compatible travel partner;,Somewhat important," Shared interests (e.g., hiking, food, history);Similar budget;Same travel style (e.g., backpacking vs. luxury);",Very concerned,"Government ID verification (e.g., passport/driver's license check);Link to and verification of social media profiles (e.g., Instagram, LinkedIn);","Yes, definitely",
7,10/7/25 22:20:14,10/7/25 22:23:04,anonymous,,,"["" Occasionally (once or twice a year)""]",High costs;Difficulty finding a compatible travel partner;,Extremely important,"Similar travel pace (e.g., relaxed vs. fast-paced); Shared interests (e.g., hiking, food, history);Same travel style (e.g., backpacking vs. luxury);",Very concerned,"Government ID verification (e.g., passport/driver's license check);A robust user review and rating system from past trips;","Yes, definitely",
8,10/7/25 22:24:25,10/7/25 22:25:39,anonymous,,,"[""Rarely"",""I am planning my first solo trip"","" Occasionally (once or twice a year)""]",Safety and security;High costs;,Extremely important,"Similar budget;Similar travel pace (e.g., relaxed vs. fast-paced); Shared interests (e.g., hiking, food, history);",Very concerned,"Government ID verification (e.g., passport/driver's license check);Link to and verification of social media profiles (e.g., Instagram, LinkedIn);","Yes, definitely",
9,10/7/25 22:32:32,10/7/25 22:34:38,anonymous,,,"["" Occasionally (once or twice a year)""]",Safety and security;,Somewhat important,"Similar budget;Same gender;Same travel style (e.g., backpacking vs. luxury);",Very concerned,"A robust user review and rating system from past trips;Government ID verification (e.g., passport/driver's license check);","Yes, definitely",
10,10/7/25 23:00:50,10/7/25 23:01:52,anonymous,,,"[""Rarely""]",Loneliness / Lack of social interaction;,Somewhat important," Shared interests (e.g., hiking, food, history);Same travel style (e.g., backpacking vs. luxury);Similar budget;",Somewhat concerned,"Government ID verification (e.g., passport/driver's license check);An in-app emergency contact or reporting feature;","Yes, but I would have some privacy concerns",
11,10/7/25 23:02:16,10/7/25 23:04:05,anonymous,,,"[""I am planning my first solo trip""]",Safety and security;High costs;,Extremely important,"Similar budget;Similar travel pace (e.g., relaxed vs. fast-paced);",Neither concerned nor unconcerned,"Government ID verification (e.g., passport/driver's license check);A robust user review and rating system from past trips;","Yes, definitely",
12,10/7/25 23:00:01,10/7/25 23:04:23,anonymous,,,"[""I am planning my first solo trip""]",Loneliness / Lack of social interaction;High costs;,Extremely important,"Similar budget; Shared interests (e.g., hiking, food, history);Same travel style (e.g., backpacking vs. luxury);",Neither concerned nor unconcerned,"Government ID verification (e.g., passport/driver's license check);An in-app emergency contact or reporting feature;","Maybe, I need to know more details",
13,10/7/25 23:39:57,10/7/25 23:49:03,anonymous,,,"["" Occasionally (once or twice a year)""]",Safety and security;High costs;,Extremely important,"Similar budget;Matching sleep schedules;Same travel style (e.g., backpacking vs. luxury);",Very concerned,"A robust user review and rating system from past trips;Government ID verification (e.g., passport/driver's license check);","Maybe, I need to know more details",1. I would prefer if the travel partners are of the same nationality due to potential cultural differences 2. Who to decide where to go is important. So part of the submission for going for the trip should at least include major cities planned in the itinerary so that potential matchers can decide if it is suitable for them. 3. Prob one reference you can look at is real estate renting platforms for feature ideas
14,10/7/25 23:49:59,10/7/25 23:51:41,anonymous,,,"[""Rarely""]",High costs;,Extremely important,"Similar budget;Similar travel pace (e.g., relaxed vs. fast-paced);",Very concerned,"Link to and verification of social media profiles (e.g., Instagram, LinkedIn);An in-app emergency contact or reporting feature;","Yes, definitely",
15,10/8/25 2:40:50,10/8/25 2:42:55,anonymous,,,"[""Will not consider solo travelling""]",Safety and security;,Somewhat important,"Same travel style (e.g., backpacking vs. luxury); Shared interests (e.g., hiking, food, history);Similar travel pace (e.g., relaxed vs. fast-paced);",Very concerned,"Government ID verification (e.g., passport/driver's license check);A robust user review and rating system from past trips;","Yes, but I would have some privacy concerns",
16,10/8/25 6:24:33,10/8/25 6:26:57,anonymous,,,"[""I am planning my first solo trip""]",Safety and security;Loneliness / Lack of social interaction;,Somewhat important,"Similar budget; Shared interests (e.g., hiking, food, history);Similar travel pace (e.g., relaxed vs. fast-paced);",Very concerned,"Government ID verification (e.g., passport/driver's license check);","Yes, but I would have some privacy concerns",
17,10/8/25 6:50:40,10/8/25 6:54:19,anonymous,,,"["" Occasionally (once or twice a year)""]",High costs;Logistics and planning alone;,Somewhat not important,"Similar travel pace (e.g., relaxed vs. fast-paced); Shared interests (e.g., hiking, food, history);Similar budget;",Very concerned,"Government ID verification (e.g., passport/driver's license check);Link to and verification of social media profiles (e.g., Instagram, LinkedIn);","Yes, definitely",
18,10/8/25 7:11:56,10/8/25 7:14:38,anonymous,,,"[""I am planning my first solo trip""]",Safety and security;Difficulty finding a compatible travel partner;,Somewhat important,"Similar budget;Similar travel pace (e.g., relaxed vs. fast-paced);Same travel style (e.g., backpacking vs. luxury);",Very concerned,"An in-app emergency contact or reporting feature;Government ID verification (e.g., passport/driver's license check);","Maybe, I need to know more details",
19,10/8/25 13:24:25,10/8/25 13:26:01,anonymous,,,"[""Rarely""]",Safety and security;,Somewhat important," Shared interests (e.g., hiking, food, history);Same travel style (e.g., backpacking vs. luxury);Similar travel pace (e.g., relaxed vs. fast-paced);",Very concerned,"Government ID verification (e.g., passport/driver's license check);A robust user review and rating system from past trips;","Yes, definitely",
20,10/8/25 17:22:13,10/8/25 17:23:20,anonymous,,,I am planning my first solo trip,Safety and security;Loneliness / Lack of social interaction;,Extremely important,"Similar budget;Similar travel pace (e.g., relaxed vs. fast-paced); Shared interests (e.g., hiking, food, history);",Very concerned,"Government ID verification (e.g., passport/driver's license check);An in-app emergency contact or reporting feature;","Yes, definitely",
21,10/8/25 18:19:23,10/8/25 18:20:58,anonymous,,, Occasionally (once or twice a year),High costs;Safety and security;,Somewhat important,"Similar budget;Similar travel pace (e.g., relaxed vs. fast-paced);Same travel style (e.g., backpacking vs. luxury);",Very concerned,"A robust user review and rating system from past trips;Link to and verification of social media profiles (e.g., Instagram, LinkedIn);","Yes, definitely",
22,10/8/25 18:21:40,10/8/25 18:23:22,anonymous,,,Rarely,Safety and security;Logistics and planning alone;,Somewhat important,"Similar budget;Similar travel pace (e.g., relaxed vs. fast-paced);",Very concerned,"Link to and verification of social media profiles (e.g., Instagram, LinkedIn);Government ID verification (e.g., passport/driver's license check);","Yes, but I would have some privacy concerns",
23,10/8/25 18:32:54,10/8/25 18:33:17,anonymous,,,Will not consider solo travelling,Safety and security;Loneliness / Lack of social interaction;,Extremely important,"Similar budget;Similar travel pace (e.g., relaxed vs. fast-paced); Shared interests (e.g., hiking, food, history);",Very concerned,"Link to and verification of social media profiles (e.g., Instagram, LinkedIn);A robust user review and rating system from past trips;","Maybe, I need to know more details",
24,10/8/25 23:13:21,10/8/25 23:15:24,anonymous,,,Rarely,Safety and security;Logistics and planning alone;,Extremely important,"Similar travel pace (e.g., relaxed vs. fast-paced); Shared interests (e.g., hiking, food, history);Same travel style (e.g., backpacking vs. luxury);",Somewhat concerned,"Link to and verification of social media profiles (e.g., Instagram, LinkedIn);An in-app emergency contact or reporting feature;","Yes, definitely",
25,10/17/25 8:03:42,10/17/25 8:06:40,anonymous,,,Will not consider solo travelling,High costs;Safety and security;,Somewhat important,"Same travel style (e.g., backpacking vs. luxury);Similar travel pace (e.g., relaxed vs. fast-paced);Similar budget;",Very concerned,An in-app emergency contact or reporting feature;,"Maybe, I need to know more details",
26,10/17/25 10:23:38,10/17/25 10:26:00,anonymous,,,Will not consider solo travelling,Difficulty finding a compatible travel partner;Safety and security;,Neutral,"Similar age group;Similar travel pace (e.g., relaxed vs. fast-paced); Shared interests (e.g., hiking, food, history);",Somewhat concerned,"Link to and verification of social media profiles (e.g., Instagram, LinkedIn);An in-app emergency contact or reporting feature;","Yes, definitely",So far no
